date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,has_shootout,shootout_winner,goalscorers_rows,penalty_goals_count,own_goals_count,fixture_id,league_id,season,source
2022-03-26,Sudan,Central African Republic,0.0,0.0,Friendlies,,,,False,,0,0,0,851314,10,2022,api_football
2022-03-26,Croatia,Slovenia,1.0,1.0,Friendlies,,,,False,,0,0,0,847815,10,2022,api_football
2022-03-26,Finland,Iceland,1.0,1.0,Friendlies,,,,False,,0,0,0,822698,10,2022,api_football
2022-03-26,Niger,Libya,1.0,2.0,Friendlies,,,,False,,0,0,0,848010,10,2022,api_football
2022-03-26,India,Belarus,0.0,3.0,Friendlies,,,,False,,0,0,0,847827,10,2022,api_football
2022-03-26,Bahrain,Burundi,1.0,0.0,Friendlies,,,,False,,0,0,0,847836,10,2022,api_football
2022-03-26,Rep. Of Ireland,Belgium,2.0,2.0,Friendlies,,,,False,,0,0,0,828605,10,2022,api_football
2022-03-26,Gibraltar,Faroe Islands,0.0,0.0,Friendlies,,,,False,,0,0,0,829111,10,2022,api_football
2022-03-26,England,Switzerland,2.0,1.0,Friendlies,,,,False,,0,0,0,826024,10,2022,api_football
2022-03-26,Qatar,Bulgaria,2.0,1.0,Friendlies,,,,False,,0,0,0,828608,10,2022,api_football
2022-03-26,Spain,Albania,2.0,1.0,Friendlies,,,,False,,0,0,0,821424,10,2022,api_football
2022-03-26,Mauritania,Mozambique,2.0,1.0,Friendlies,,,,False,,0,0,0,848011,10,2022,api_football
2022-03-26,Germany,Israel,2.0,0.0,Friendlies,,,,False,,0,0,0,821423,10,2022,api_football
2022-03-26,Netherlands,Denmark,4.0,2.0,Friendlies,,,,False,,0,0,0,825231,10,2022,api_football
2022-03-27,Laos,Brunei,3.0,2.0,Friendlies,,,,False,,0,0,0,849946,10,2022,api_football
2022-03-27,Liberia,Sierra Leone,0.0,1.0,Friendlies,,,,False,,0,0,0,850214,10,2022,api_football
2022-03-27,Thailand,Suriname,1.0,0.0,Friendlies,,,,False,,0,0,0,847816,10,2022,api_football
2022-03-27,Zambia,Benin,1.0,2.0,Friendlies,,,,False,,0,0,0,853289,10,2022,api_football
2022-03-27,Guatemala,Haiti,2.0,1.0,Friendlies,,,,False,,0,0,0,847828,10,2022,api_football
2022-03-27,Guyana,Barbados,5.0,0.0,Friendlies,,,,False,,0,0,0,852089,10,2022,api_football
